manufacturer,model,type,iata_code,icao_code
GippsAero,GippsAero GA8 Airvan,Airplane,,GA8
Government Aircraft Factories,Government Aircraft Factories N22B / N24A Nomad,Airplane,CD2,NOMA
Grumman,Grumman G-21 Goose,Airplane,GRG,G21
Grumman,Grumman G-73 Turbo Mallard,Airplane,GRM,G73T
Gulfstream,Gulfstream Aerospace G-159 Gulfstream I,Airplane,GRS,G159
Gulfstream,Gulfstream G280,Airplane,GR3,G280
Gulfstream,Gulfstream G650,Airplane,GJ6,GLF6
Gulfstream,Gulfstream IV,Airplane,GJ4,GLF4
Gulfstream,Gulfstream V,Airplane,GJ5,GLF5
Gulfstream,Gulfstream/Rockwell (Aero) Commander,Airplane,ACP,AC68
Gulfstream,Gulfstream/Rockwell (Aero) Turbo Commander,Airplane,ACT,AC90
Harbin Aircraft Industry Group,Harbin Yunshuji Y12,Airplane,YN2,Y12
Hawker Beechcraft Corporation,British Aerospace 125 series / Hawker/Raytheon 700/800/800XP/850/900,Airplane,H25,H25B
Hawker Beechcraft Corporation,British Aerospace 125-1000 series / Hawker/Raytheon 1000,Airplane,H25,H25C
Honda,Honda HA-420,Airplane,,HDJT
ICON,ICON A5,Airplane,,A5
Ilyushin,Ilyushin IL18,Airplane,IL8,IL18
Ilyushin,Ilyushin IL62,Airplane,IL6,IL62
Ilyushin,Ilyushin IL76,Airplane,IL7,IL76
Ilyushin,Ilyushin IL86,Airplane,ILW,IL86
Ilyushin,Ilyushin IL96,Airplane,I93,IL96
Indonesian Aerospace,CASA / IPTN 212 Aviocar,Airplane,CS2,C212
Indonesian Aerospace,CASA/IPTN CN-235,Airplane,CS5,CN35
Israel Aircraft Industries,Israel Aircraft Industries 1124 Westwind,Airplane,WWP,WW24
Junkers,Junkers Ju 52/3M,Airplane,JU5,JU52
Learjet,Learjet 35 / 36 / C-21A,Airplane,LRJ,LJ35
Learjet,Learjet 60,Airplane,LRJ,LJ60
Let Kunovice,LET 410,Airplane,L4T,L410
Lockheed Corporation,Lockheed L-1011 Tristar,Airplane,L10,L101
Lockheed Corporation,Lockheed L-1049 Super Constellation,Airplane,L49,CONI
Lockheed Corporation,Lockheed L-182 / 282 / 382 (L-100) Hercules,Airplane,LOH,C130
Lockheed Corporation,Lockheed L-188 Electra,Airplane,LOE,L188
McDonnell Douglas,Douglas DC-10-10 / -15 Passenger,Airplane,D11,DC10
McDonnell Douglas,Douglas DC-10-10 Freighter,Airplane,D1X,DC10
McDonnell Douglas,Douglas DC-10-30 / -40 Freighter,Airplane,D1Y,DC10
McDonnell Douglas,Douglas DC-10-30 / -40 Passenger,Airplane,D1C,DC10
McDonnell Douglas,Douglas DC-10-30 Combi,Airplane,D1M,DC10
McDonnell Douglas,Douglas DC-3,Airplane,D3F,DC3
McDonnell Douglas,Douglas DC-6,Airplane,D6F,DC6
McDonnell Douglas,Douglas DC-8-50,Airplane,D8T,DC85
McDonnell Douglas,Douglas DC-8-62,Airplane,D8L,DC86
McDonnell Douglas,Douglas DC-8-72,Airplane,D8Q,DC87
McDonnell Douglas,Douglas DC-9-10,Airplane,D91,DC91
McDonnell Douglas,Douglas DC-9-20,Airplane,D92,DC92
McDonnell Douglas,Douglas DC-9-30,Airplane,D93,DC93
McDonnell Douglas,Douglas DC-9-40,Airplane,D94,DC94
McDonnell Douglas,Douglas DC-9-50,Airplane,D95,DC95
McDonnell Douglas,McDonnell Douglas MD-11,Airplane,M11,MD11
McDonnell Douglas,McDonnell Douglas MD-11C,Airplane,M1M,MD11
McDonnell Douglas,McDonnell Douglas MD-11F,Airplane,M1F,MD11
McDonnell Douglas,McDonnell Douglas MD-81,Airplane,M81,MD81
McDonnell Douglas,McDonnell Douglas MD-82,Airplane,M82,MD82
McDonnell Douglas,McDonnell Douglas MD-83,Airplane,M83,MD83
McDonnell Douglas,McDonnell Douglas MD-87,Airplane,M87,MD87
McDonnell Douglas,McDonnell Douglas MD-88,Airplane,M88,MD88
McDonnell Douglas,McDonnell Douglas MD-90,Airplane,M90,MD90
MD Helicopters,MD Helicopters MD900 Explorer,Helicopter,MD9,EXPL
Mil Moscow Helicopter Plant,Mil Mi-24 / Mi-25 / Mi-35,Helicopter,,MI24
Mil Moscow Helicopter Plant,MIL Mi-8 / Mi-17 / Mi-171 / Mil-172,Helicopter,MIH,MI8
Mitsubishi,Mitsubishi Mu-2,Airplane,MU2,MU2
Nihon Aircraft Manufacturing Corporation,NAMC YS-11,Airplane,YS1,YS11
Piaggio Aero,Piaggio P.180 Avanti,Airplane,,P180
Pilatus Aircraft,Pilatus PC-12,Airplane,PL2,PC12
Pilatus Aircraft,Pilatus PC-6 Turbo Porter,Airplane,PL6,PC6T
Piper Aircraft,Piper PA-28 (above 200 hp),Airplane,,P28B
Piper Aircraft,Piper PA-28 (up to 180 hp),Airplane,,P28A
Piper Aircraft,Piper PA-31 Navajo,Airplane,PA2,PA31
Piper Aircraft,Piper PA-44 Seminole,Airplane,,PA44
Piper Aircraft,Piper PA-46,Airplane,PAG,PA46
Pipistrel,Pipistrel Sinus,Airplane,,PISI
Pipistrel,Pipistrel Taurus,Airplane,,PITA
Pipistrel,Pipistrel Virus,Airplane,,PIVI
Russian Aircraft Corporation MiG,Ilyushin IL114,Airplane,I14,I114
Saab,Saab 2000,Airplane,S20,SB20
Saab,Saab SF340A/B,Airplane,SF3,SF34
Short Brothers,Shorts SC-5 Belfast,Airplane,SHB,BELF
Short Brothers,Shorts SC-7 Skyvan,Airplane,SHS,SC7
Short Brothers,Shorts SD.330,Airplane,SH3,SH33
Short Brothers,Shorts SD.360,Airplane,SH6,SH36
Sikorsky,Sikorsky S-58T,Helicopter,S58,S58T
Sikorsky,Sikorsky S-61,Helicopter,S61,S61
Sikorsky,Sikorsky S-76,Helicopter,S76,S76
Sikorsky,Sikorsky S-92,Helicopter,S92,S92
Socata,Socata TB-20 Trinidad,Airplane,,TB20
Sukhoi,Sukhoi Superjet 100-95,Airplane,SU9,SU95
Team Rocket,Team Rocket F1,Airplane,,TRF1
Tecnam,Tecnam P2002 Sierra,Airplane,,SIRA
Tecnam,Tecnam P2006T,Airplane,,P06T
Tecnam,Tecnam P2008,Airplane,,P208
Tecnam,Tecnam P2010,Airplane,,TWEN
Tecnam,Tecnam P2012 Traveller,Airplane,T12,P212
Tecnam,Tecnam P92 Echo / P92 Eaglet / P92 SeaSky,Airplane,,ECHO
Tecnam,Tecnam P96,Airplane,,GOLF
TL Ultralight,TL Ultralight TL-96 Star / TL-2000 Sting,Airplane,,TL20
Tupolev,Tupolev Tu-134,Airplane,TU3,T134
Tupolev,Tupolev Tu-144,Airplane,,T144
Tupolev,Tupolev Tu-154,Airplane,TU5,T154
Tupolev,Tupolev Tu-204 / Tu-214,Airplane,T20,T204
Vulcanair,Partenavia P.68,Airplane,PN6,P68
Yakovlev,Yakovlev Yak-40,Airplane,YK4,YK40
Yakovlev,Yakovlev Yak-42,Airplane,YK2,YK42
